a,aaac2b1
c3dab1,1bad3c1
c3dab2,2bad3c2
c3da21,12ad3c1
c3da2b,b2ad3cb
c3d1ab,ba1d3cb
c3d1a2,2a1d3c2
c3d1ba,ab1d3ca
c3d1b2,2b1d3c2
c3d12a,a21d3ca
c3d12b,b21d3cb
c3dba1,1abd3c1
c3dba2,2abd3c2
c3db1a,a1bd3ca
c3db12,21bd3c2
c3db2a,a2bd3ca
c3db21,12bd3c1
c3d2a1,1a2d3c1
c3d2ab,ba2d3cb
c3d21a,a12d3ca
c3d21b,b12d3cb
c3d2ba,ab2d3ca
c3d2b1,1b2d3c1
cda1b2,2b1adc2
cda1b3,3b1adc3
cda12b,b21adcb
cda123,321adc3
cda13b,b31adcb
cda132,231adc2
cdab12,21badc2
cdab13,31badc3
cdab21,12badc1
cdab23,32badc3
cdab31,13badc1
cdab32,23badc2
cda21b,b12adcb
cda213,312adc3
cda2b1,1b2adc1
cda2b3,3b2adc3
cda231,132adc1
cda23b,b32adcb
cda31b,b13adcb
cda312,213adc2
cda3b1,1b3adc1
cda3b2,2b3adc2
cda321,123adc1
cda32b,b23adcb
cd1ab2,2ba1dc2
cd1ab3,3ba1dc3
cd1a2b,b2a1dcb
cd1a23,32a1dc3
cd1a3b,b3a1dcb
cd1a32,23a1dc2
cd1ba2,2ab1dc2
cd1ba3,3ab1dc3
cd1b2a,a2b1dca
cd1b23,32b1dc3
cd1b3a,a3b1dca
cd1b32,23b1dc2
cd12ab,ba21dcb
cd12a3,3a21dc3
cd12ba,ab21dca
cd12b3,3b21dc3
cd123a,a321dca
cd123b,b321dcb
cd13ab,ba31dcb
cd13a2,2a31dc2
cd13ba,ab31dca
cd13b2,2b31dc2
cd132a,a231dca
cd132b,b231dcb
cdba12,21abdc2
cdba13,31abdc3
cdba21,12abdc1
cdba23,32abdc3
cdba31,13abdc1
cdba32,23abdc2
cdb1a2,2a1bdc2
cdb1a3,3a1bdc3
cdb12a,a21bdca
cdb123,321bdc3
cdb13a,a31bdca
cdb132,231bdc2
cdb2a1,1a2bdc1
cdb2a3,3a2bdc3
cdb21a,a12bdca
cdb213,312bdc3
cdb23a,a32bdca
cdb231,132bdc1
cdb3a1,1a3bdc1
cdb3a2,2a3bdc2
cdb31a,a13bdca
cdb312,213bdc2
cdb32a,a23bdca
cdb321,123bdc1
cd2a1b,b1a2dcb
cd2a13,31a2dc3
cd2ab1,1ba2dc1
cd2ab3,3ba2dc3
cd2a31,13a2dc1
cd2a3b,b3a2dcb
cd21ab,ba12dcb
cd21a3,3a12dc3
cd21ba,ab12dca
cd21b3,3b12dc3
cd213a,a312dca
cd213b,b312dcb
cd2ba1,1ab2dc1
cd2ba3,3ab2dc3
cd2b1a,a1b2dca
cd2b13,31b2dc3
cd2b3a,a3b2dca
cd2b31,13b2dc1
cd23a1,1a32dc1
cd23ab,ba32dcb
cd231a,a132dca
cd231b,b132dcb
cd23ba,ab32dca
cd23b1,1b32dc1
cd3a1b,b1a3dcb
cd3a12,21a3dc2
cd3ab1,1ba3dc1
cd3ab2,2ba3dc2
cd3a21,12a3dc1
cd3a2b,b2a3dcb
cd31ab,ba13dcb
cd31a2,2a13dc2
cd31ba,ab13dca
cd31b2,2b13dc2
cd312a,a213dca
cd312b,b213dcb
cd3ba1,1ab3dc1
cd3ba2,2ab3dc2
cd3b1a,a1b3dca
cd3b12,21b3dc2
cd3b2a,a2b3dca
cd3b21,12b3dc1
cd32a1,1a23dc1
cd32ab,ba23dcb
cd321a,a123dca
cd321b,b123dcb
cd32ba,ab23dca
cd32b1,1b23dc1
3a1b2c,c2b1a3c
3a1b2d,d2b1a3d
3a1bc2,2cb1a32
3a1bcd,dcb1a3d
3a1bd2,2db1a32
3a1bdc,cdb1a3c
3a12bc,cb21a3c
3a12bd,db21a3d
3a12cb,bc21a3b
3a12cd,dc21a3d
3a12db,bd21a3b
3a12dc,cd21a3c
3a1cb2,2bc1a32
3a1cbd,dbc1a3d
3a1c2b,b2c1a3b
3a1c2d,d2c1a3d
3a1cdb,bdc1a3b
3a1cd2,2dc1a32
3a1db2,2bd1a32
3a1dbc,cbd1a3c
3a1d2b,b2d1a3b
3a1d2c,c2d1a3c
3a1dcb,bcd1a3b
3a1dc2,2cd1a32
3ab12c,c21ba3c
3ab12d,d21ba3d
3ab1c2,2c1ba32
3ab1cd,dc1ba3d
3ab1d2,2d1ba32
3ab1dc,cd1ba3c
3ab21c,c12ba3c
3ab21d,d12ba3d
3ab2c1,1c2ba31
3ab2cd,dc2ba3d
3ab2d1,1d2ba31
3ab2dc,cd2ba3c
3abc12,21cba32
3abc1d,d1cba3d
3abc21,12cba31
3abc2d,d2cba3d
3abcd1,1dcba31
3abcd2,2dcba32
3abd12,21dba32
3abd1c,c1dba3c
3abd21,12dba31
3abd2c,c2dba3c
3abdc1,1cdba31
3abdc2,2cdba32
3a21bc,cb12a3c
3a21bd,db12a3d
3a21cb,bc12a3b
3a21cd,dc12a3d
3a21db,bd12a3b
3a21dc,cd12a3c
3a2b1c,c1b2a3c
3a2b1d,d1b2a3d
3a2bc1,1cb2a31
3a2bcd,dcb2a3d
3a2bd1,1db2a31
3a2bdc,cdb2a3c
3a2c1b,b1c2a3b
3a2c1d,d1c2a3d
3a2cb1,1bc2a31
3a2cbd,dbc2a3d
3a2cd1,1dc2a31
3a2cdb,bdc2a3b
3a2d1b,b1d2a3b
3a2d1c,c1d2a3c
3a2db1,1bd2a31
3a2dbc,cbd2a3c
3a2dc1,1cd2a31
3a2dcb,bcd2a3b
3ac1b2,2b1ca32
3ac1bd,db1ca3d
3ac12b,b21ca3b
3ac12d,d21ca3d
3ac1db,bd1ca3b
3ac1d2,2d1ca32
3acb12,21bca32
3acb1d,d1bca3d
3acb21,12bca31
3acb2d,d2bca3d
3acbd1,1dbca31
3acbd2,2dbca32
3ac21b,b12ca3b
3ac21d,d12ca3d
3ac2b1,1b2ca31
3ac2bd,db2ca3d
3ac2d1,1d2ca31
3ac2db,bd2ca3b
3acd1b,b1dca3b
3acd12,21dca32
3acdb1,1bdca31
3acdb2,2bdca32
3acd21,12dca31
3acd2b,b2dca3b
3ad1b2,2b1da32
3ad1bc,cb1da3c
3ad12b,b21da3b
3ad12c,c21da3c
3ad1cb,bc1da3b
3ad1c2,2c1da32
3adb12,21bda32
3adb1c,c1bda3c
3adb21,12bda31
3adb2c,c2bda3c
3adbc1,1cbda31
3adbc2,2cbda32
3ad21b,b12da3b
3ad21c,c12da3c
3ad2b1,1b2da31
3ad2bc,cb2da3c
3ad2c1,1c2da31
3ad2cb,bc2da3b
3adc1b,b1cda3b
3adc12,21cda32
3adcb1,1bcda31
3adcb2,2bcda32
3adc21,12cda31
3adc2b,b2cda3b
31ab2c,c2ba13c
31ab2d,d2ba13d
31abc2,2cba132
31abcd,dcba13d
31abd2,2dba132
31abdc,cdba13c
31a2bc,cb2a13c
31a2bd,db2a13d
31a2cb,bc2a13b
31a2cd,dc2a13d
31a2db,bd2a13b
31a2dc,cd2a13c
31acb2,2bca132
31acbd,dbca13d
31ac2b,b2ca13b
31ac2d,d2ca13d
31acdb,bdca13b
31acd2,2dca132
31adb2,2bda132
31adbc,cbda13c
31ad2b,b2da13b
31ad2c,c2da13c
31adcb,bcda13b
31adc2,2cda132
31ba2c,c2ab13c
31ba2d,d2ab13d
31bac2,2cab132
31bacd,dcab13d
31bad2,2dab132
31badc,cdab13c
31b2ac,ca2b13c
31b2ad,da2b13d
31b2ca,ac2b13a
31b2cd,dc2b13d
31b2da,ad2b13a
31b2dc,cd2b13c
31bca2,2acb132
31bcad,dacb13d
31bc2a,a2cb13a
31bc2d,d2cb13d
31bcda,adcb13a
31bcd2,2dcb132
31bda2,2adb132
31bdac,cadb13c
31bd2a,a2db13a
31bd2c,c2db13c
31bdca,acdb13a
31bdc2,2cdb132
312abc,cba213c
312abd,dba213d
312acb,bca213b
312acd,dca213d
312adb,bda213b
312adc,cda213c
312bac,cab213c
312bad,dab213d
312bca,acb213a
312bcd,dcb213d
312bda,adb213a
312bdc,cdb213c
312cab,bac213b
312cad,dac213d
312cba,abc213a
312cbd,dbc213d
312cda,adc213a
312cdb,bdc213b
312dab,bad213b
312dac,cad213c
312dba,abd213a
312dbc,cbd213c
312dca,acd213a
312dcb,bcd213b
31cab2,2bac132
31cabd,dbac13d
31ca2b,b2ac13b
31ca2d,d2ac13d
31cadb,bdac13b
31cad2,2dac132
31cba2,2abc132
31cbad,dabc13d
31cb2a,a2bc13a
31cb2d,d2bc13d
31cbda,adbc13a
31cbd2,2dbc132
31c2ab,ba2c13b
31c2ad,da2c13d
31c2ba,ab2c13a
31c2bd,db2c13d
31c2da,ad2c13a
31c2db,bd2c13b
31cdab,badc13b
31cda2,2adc132
31cdba,abdc13a
31cdb2,2bdc132
31cd2a,a2dc13a
31cd2b,b2dc13b
31dab2,2bad132
31dabc,cbad13c
31da2b,b2ad13b
31da2c,c2ad13c
31dacb,bcad13b
31dac2,2cad132
31dba2,2abd132
31dbac,cabd13c
31db2a,a2bd13a
31db2c,c2bd13c
31dbca,acbd13a
31dbc2,2cbd132
31d2ab,ba2d13b
31d2ac,ca2d13c
31d2ba,ab2d13a
31d2bc,cb2d13c
31d2ca,ac2d13a
31d2cb,bc2d13b
31dcab,bacd13b
31dca2,2acd132
31dcba,abcd13a
31dcb2,2bcd132
31dc2a,a2cd13a
31dc2b,b2cd13b
3ba12c,c21ab3c
3ba12d,d21ab3d
3ba1c2,2c1ab32
3ba1cd,dc1ab3d
3ba1d2,2d1ab32
3ba1dc,cd1ab3c
3ba21c,c12ab3c
3ba21d,d12ab3d
3ba2c1,1c2ab31
3ba2cd,dc2ab3d
3ba2d1,1d2ab31
3ba2dc,cd2ab3c
3bac12,21cab32
3bac1d,d1cab3d
3bac21,12cab31
3bac2d,d2cab3d
3bacd1,1dcab31
3bacd2,2dcab32
3bad12,21dab32
3bad1c,c1dab3c
3bad21,12dab31
3bad2c,c2dab3c
3badc1,1cdab31
3badc2,2cdab32
3b1a2c,c2a1b3c
3b1a2d,d2a1b3d
3b1ac2,2ca1b32
3b1acd,dca1b3d
3b1ad2,2da1b32
3b1adc,cda1b3c
3b12ac,ca21b3c
3b12ad,da21b3d
3b12ca,ac21b3a
3b12cd,dc21b3d
3b12da,ad21b3a
3b12dc,cd21b3c
3b1ca2,2ac1b32
3b1cad,dac1b3d
3b1c2a,a2c1b3a
3b1c2d,d2c1b3d
3b1cda,adc1b3a
3b1cd2,2dc1b32
3b1da2,2ad1b32
3b1dac,cad1b3c
3b1d2a,a2d1b3a
3b1d2c,c2d1b3c
3b1dca,acd1b3a
3b1dc2,2cd1b32
3b2a1c,c1a2b3c
3b2a1d,d1a2b3d
3b2ac1,1ca2b31
3b2acd,dca2b3d
3b2ad1,1da2b31
3b2adc,cda2b3c
3b21ac,ca12b3c
3b21ad,da12b3d
3b21ca,ac12b3a
3b21cd,dc12b3d
3b21da,ad12b3a
3b21dc,cd12b3c
3b2ca1,1ac2b31
3b2cad,dac2b3d
3b2c1a,a1c2b3a
3b2c1d,d1c2b3d
3b2cda,adc2b3a
3b2cd1,1dc2b31
3b2da1,1ad2b31
3b2dac,cad2b3c
3b2d1a,a1d2b3a
3b2d1c,c1d2b3c
3b2dca,acd2b3a
3b2dc1,1cd2b31
3bca12,21acb32
3bca1d,d1acb3d
3bca21,12acb31
3bca2d,d2acb3d
3bcad1,1dacb31
3bcad2,2dacb32
3bc1a2,2a1cb32
3bc1ad,da1cb3d
3bc12a,a21cb3a
3bc12d,d21cb3d
3bc1da,ad1cb3a
3bc1d2,2d1cb32
3bc2a1,1a2cb31
3bc2ad,da2cb3d
3bc21a,a12cb3a
3bc21d,d12cb3d
3bc2da,ad2cb3a
3bc2d1,1d2cb31
3bcda1,1adcb31
3bcda2,2adcb32
3bcd1a,a1dcb3a
3bcd12,21dcb32
3bcd2a,a2dcb3a
3bcd21,12dcb31
3bda12,21adb32
3bda1c,c1adb3c
3bda21,12adb31
3bda2c,c2adb3c
3bdac1,1cadb31
3bdac2,2cadb32
3bd1a2,2a1db32
3bd1ac,ca1db3c
3bd12a,a21db3a
3bd12c,c21db3c
3bd1ca,ac1db3a
3bd1c2,2c1db32
3bd2a1,1a2db31
3bd2ac,ca2db3c
3bd21a,a12db3a
3bd21c,c12db3c
3bd2ca,ac2db3a
3bd2c1,1c2db31
3bdca1,1acdb31
3bdca2,2acdb32
3bdc1a,a1cdb3a
3bdc12,21cdb32
3bdc2a,a2cdb3a
3bdc21,12cdb31
32a1bc,cb1a23c
32a1bd,db1a23d
32a1cb,bc1a23b
32a1cd,dc1a23d
32a1db,bd1a23b
32a1dc,cd1a23c
32ab1c,c1ba23c
32ab1d,d1ba23d
32abc1,1cba231
32abcd,dcba23d
32abd1,1dba231
32abdc,cdba23c
32ac1b,b1ca23b
32ac1d,d1ca23d
32acb1,1bca231
32acbd,dbca23d
32acd1,1dca231
32acdb,bdca23b
32ad1b,b1da23b
32ad1c,c1da23c
32adb1,1bda231
32adbc,cbda23c
32adc1,1cda231
32adcb,bcda23b
321abc,cba123c
321abd,dba123d
321acb,bca123b
321acd,dca123d
321adb,bda123b
321adc,cda123c
321bac,cab123c
321bad,dab123d
321bca,acb123a
321bcd,dcb123d
321bda,adb123a
321bdc,cdb123c
321cab,bac123b
321cad,dac123d
321cba,abc123a
321cbd,dbc123d
321cda,adc123a
321cdb,bdc123b
321dab,bad123b
321dac,cad123c
321dba,abd123a
321dbc,cbd123c
321dca,acd123a
321dcb,bcd123b
32ba1c,c1ab23c
32ba1d,d1ab23d
32bac1,1cab231
32bacd,dcab23d
32bad1,1dab231
32badc,cdab23c
32b1ac,ca1b23c
32b1ad,da1b23d
32b1ca,ac1b23a
32b1cd,dc1b23d
32b1da,ad1b23a
32b1dc,cd1b23c
32bca1,1acb231
32bcad,dacb23d
32bc1a,a1cb23a
32bc1d,d1cb23d
32bcda,adcb23a
32bcd1,1dcb231
32bda1,1adb231
32bdac,cadb23c
32bd1a,a1db23a
32bd1c,c1db23c
32bdca,acdb23a
32bdc1,1cdb231
32ca1b,b1ac23b
32ca1d,d1ac23d
32cab1,1bac231
32cabd,dbac23d
32cad1,1dac231
32cadb,bdac23b
32c1ab,ba1c23b
32c1ad,da1c23d
32c1ba,ab1c23a
32c1bd,db1c23d
32c1da,ad1c23a
32c1db,bd1c23b
32cba1,1abc231
32cbad,dabc23d
32cb1a,a1bc23a
32cb1d,d1bc23d
32cbda,adbc23a
32cbd1,1dbc231
32cda1,1adc231
32cdab,badc23b
32cd1a,a1dc23a
32cd1b,b1dc23b
32cdba,abdc23a
32cdb1,1bdc231
32da1b,b1ad23b
32da1c,c1ad23c
32dab1,1bad231
32dabc,cbad23c
32dac1,1cad231
32dacb,bcad23b
32d1ab,ba1d23b
32d1ac,ca1d23c
32d1ba,ab1d23a
32d1bc,cb1d23c
32d1ca,ac1d23a
32d1cb,bc1d23b
32dba1,1abd231
32dbac,cabd23c
32db1a,a1bd23a
32db1c,c1bd23c
32dbca,acbd23a
32dbc1,1cbd231
32dca1,1acd231
32dcab,bacd23b
32dc1a,a1cd23a
32dc1b,b1cd23b
32dcba,abcd23a
32dcb1,1bcd231
3ca1b2,2b1ac32
3ca1bd,db1ac3d
3ca12b,b21ac3b
3ca12d,d21ac3d
3ca1db,bd1ac3b
3ca1d2,2d1ac32
3cab12,21bac32
3cab1d,d1bac3d
3cab21,12bac31
3cab2d,d2bac3d
3cabd1,1dbac31
3cabd2,2dbac32
3ca21b,b12ac3b
3ca21d,d12ac3d
3ca2b1,1b2ac31
3ca2bd,db2ac3d
3ca2d1,1d2ac31
3ca2db,bd2ac3b
3cad1b,b1dac3b
3cad12,21dac32
3cadb1,1bdac31
3cadb2,2bdac32
3cad21,12dac31
3cad2b,b2dac3b
3c1ab2,2ba1c32
3c1abd,dba1c3d
3c1a2b,b2a1c3b
3c1a2d,d2a1c3d
3c1adb,bda1c3b
3c1ad2,2da1c32
3c1ba2,2ab1c32
3c1bad,dab1c3d
3c1b2a,a2b1c3a
3c1b2d,d2b1c3d
3c1bda,adb1c3a
3c1bd2,2db1c32
3c12ab,ba21c3b
3c12ad,da21c3d
3c12ba,ab21c3a
3c12bd,db21c3d
3c12da,ad21c3a
3c12db,bd21c3b
3c1dab,bad1c3b
3c1da2,2ad1c32
3c1dba,abd1c3a
3c1db2,2bd1c32
3c1d2a,a2d1c3a
3c1d2b,b2d1c3b
3cba12,21abc32
3cba1d,d1abc3d
3cba21,12abc31
3cba2d,d2abc3d
3cbad1,1dabc31
3cbad2,2dabc32
3cb1a2,2a1bc32
3cb1ad,da1bc3d
3cb12a,a21bc3a
3cb12d,d21bc3d
3cb1da,ad1bc3a
3cb1d2,2d1bc32
3cb2a1,1a2bc31
3cb2ad,da2bc3d
3cb21a,a12bc3a
3cb21d,d12bc3d
3cb2da,ad2bc3a
3cb2d1,1d2bc31
3cbda1,1adbc31
3cbda2,2adbc32
3cbd1a,a1dbc3a
3cbd12,21dbc32
3cbd2a,a2dbc3a
3cbd21,12dbc31
3c2a1b,b1a2c3b
3c2a1d,d1a2c3d
3c2ab1,1ba2c31
3c2abd,dba2c3d
3c2ad1,1da2c31
3c2adb,bda2c3b
3c21ab,ba12c3b
3c21ad,da12c3d
3c21ba,ab12c3a
3c21bd,db12c3d
3c21da,ad12c3a
3c21db,bd12c3b
3c2ba1,1ab2c31
3c2bad,dab2c3d
3c2b1a,a1b2c3a
3c2b1d,d1b2c3d
3c2bda,adb2c3a
3c2bd1,1db2c31
3c2da1,1ad2c31
3c2dab,bad2c3b
3c2d1a,a1d2c3a
3c2d1b,b1d2c3b
3c2dba,abd2c3a
3c2db1,1bd2c31
3cda1b,b1adc3b
3cda12,21adc32
3cdab1,1badc31
3cdab2,2badc32
3cda21,12adc31
3cda2b,b2adc3b
3cd1ab,ba1dc3b
3cd1a2,2a1dc32
3cd1ba,ab1dc3a
3cd1b2,2b1dc32
3cd12a,a21dc3a
3cd12b,b21dc3b
3cdba1,1abdc31
3cdba2,2abdc32
3cdb1a,a1bdc3a
3cdb12,21bdc32
3cdb2a,a2bdc3a
3cdb21,12bdc31
3cd2a1,1a2dc31
3cd2ab,ba2dc3b
3cd21a,a12dc3a
3cd21b,b12dc3b
3cd2ba,ab2dc3a
3cd2b1,1b2dc31
3da1b2,2b1ad32
3da1bc,cb1ad3c
3da12b,b21ad3b
3da12c,c21ad3c
3da1cb,bc1ad3b
3da1c2,2c1ad32
3dab12,21bad32
3dab1c,c1bad3c
3dab21,12bad31
3dab2c,c2bad3c
3dabc1,1cbad31
3dabc2,2cbad32
3da21b,b12ad3b
3da21c,c12ad3c
3da2b1,1b2ad31
3da2bc,cb2ad3c
3da2c1,1c2ad31
3da2cb,bc2ad3b
3dac1b,b1cad3b
3dac12,21cad32
3dacb1,1bcad31
3dacb2,2bcad32
3dac21,12cad31
3dac2b,b2cad3b
3d1ab2,2ba1d32
3d1abc,cba1d3c
3d1a2b,b2a1d3b
3d1a2c,c2a1d3c
3d1acb,bca1d3b
3d1ac2,2ca1d32
3d1ba2,2ab1d32
3d1bac,cab1d3c
3d1b2a,a2b1d3a
3d1b2c,c2b1d3c
3d1bca,acb1d3a
3d1bc2,2cb1d32
3d12ab,ba21d3b
3d12ac,ca21d3c
3d12ba,ab21d3a
3d12bc,cb21d3c
3d12ca,ac21d3a
3d12cb,bc21d3b
3d1cab,bac1d3b
3d1ca2,2ac1d32
3d1cba,abc1d3a
3d1cb2,2bc1d32
3d1c2a,a2c1d3a
3d1c2b,b2c1d3b
3dba12,21abd32
3dba1c,c1abd3c
3dba21,12abd31
3dba2c,c2abd3c
3dbac1,1cabd31
3dbac2,2cabd32
3db1a2,2a1bd32
3db1ac,ca1bd3c
3db12a,a21bd3a
3db12c,c21bd3c
3db1ca,ac1bd3a
3db1c2,2c1bd32
3db2a1,1a2bd31
3db2ac,ca2bd3c
3db21a,a12bd3a
3db21c,c12bd3c
3db2ca,ac2bd3a
3db2c1,1c2bd31
3dbca1,1acbd31
3dbca2,2acbd32
3dbc1a,a1cbd3a
3dbc12,21cbd32
3dbc2a,a2cbd3a
3dbc21,12cbd31
3d2a1b,b1a2d3b
3d2a1c,c1a2d3c
3d2ab1,1ba2d31
3d2abc,cba2d3c
3d2ac1,1ca2d31
3d2acb,bca2d3b
3d21ab,ba12d3b
3d21ac,ca12d3c
3d21ba,ab12d3a
3d21bc,cb12d3c
3d21ca,ac12d3a
3d21cb,bc12d3b
3d2ba1,1ab2d31
3d2bac,cab2d3c
3d2b1a,a1b2d3a
3d2b1c,c1b2d3c
3d2bca,acb2d3a
3d2bc1,1cb2d31
3d2ca1,1ac2d31
3d2cab,bac2d3b
3d2c1a,a1c2d3a
3d2c1b,b1c2d3b
3d2cba,abc2d3a
3d2cb1,1bc2d31
3dca1b,b1acd3b
3dca12,21acd32
3dcab1,1bacd31
3dcab2,2bacd32
3dca21,12acd31
3dca2b,b2acd3b
3dc1ab,ba1cd3b
3dc1a2,2a1cd32
3dc1ba,ab1cd3a
3dc1b2,2b1cd32
3dc12a,a21cd3a
3dc12b,b21cd3b
3dcba1,1abcd31
3dcba2,2abcd32
3dcb1a,a1bcd3a
3dcb12,21bcd32
3dcb2a,a2bcd3a
3dcb21,12bcd31
3dc2a1,1a2cd31
3dc2ab,ba2cd3b
3dc21a,a12cd3a
3dc21b,b12cd3b
3dc2ba,ab2cd3a
3dc2b1,1b2cd31
da1b2c,c2b1adc
da1b23,32b1ad3
da1bc2,2cb1ad2
da1bc3,3cb1ad3
da1b32,23b1ad2
da1b3c,c3b1adc
da12bc,cb21adc
da12b3,3b21ad3
da12cb,bc21adb
da12c3,3c21ad3
da123b,b321adb
da123c,c321adc
da1cb2,2bc1ad2
da1cb3,3bc1ad3
da1c2b,b2c1adb
da1c23,32c1ad3
da1c3b,b3c1adb
da1c32,23c1ad2
da13b2,2b31ad2
da13bc,cb31adc
da132b,b231adb
da132c,c231adc
da13cb,bc31adb
da13c2,2c31ad2
dab12c,c21badc
dab123,321bad3
dab1c2,2c1bad2
dab1c3,3c1bad3
dab132,231bad2
dab13c,c31badc
dab21c,c12badc
dab213,312bad3
dab2c1,1c2bad1
dab2c3,3c2bad3
dab231,132bad1
dab23c,c32badc
dabc12,21cbad2
dabc13,31cbad3
dabc21,12cbad1
dabc23,32cbad3
dabc31,13cbad1
dabc32,23cbad2
dab312,213bad2
dab31c,c13badc
dab321,123bad1
dab32c,c23badc
dab3c1,1c3bad1
dab3c2,2c3bad2
da21bc,cb12adc
da21b3,3b12ad3
da21cb,bc12adb
da21c3,3c12ad3
da213b,b312adb
da213c,c312adc
da2b1c,c1b2adc
da2b13,31b2ad3
da2bc1,1cb2ad1
da2bc3,3cb2ad3
da2b31,13b2ad1
da2b3c,c3b2adc
da2c1b,b1c2adb
da2c13,31c2ad3
da2cb1,1bc2ad1
da2cb3,3bc2ad3
da2c31,13c2ad1
da2c3b,b3c2adb
da231b,b132adb
da231c,c132adc
da23b1,1b32ad1
da23bc,cb32adc
da23c1,1c32ad1
da23cb,bc32adb
dac1b2,2b1cad2
dac1b3,3b1cad3
dac12b,b21cadb
dac123,321cad3
dac13b,b31cadb
dac132,231cad2
dacb12,21bcad2
dacb13,31bcad3
dacb21,12bcad1
dacb23,32bcad3
dacb31,13bcad1
dacb32,23bcad2
dac21b,b12cadb
dac213,312cad3
dac2b1,1b2cad1
dac2b3,3b2cad3
dac231,132cad1
dac23b,b32cadb
dac31b,b13cadb
dac312,213cad2
dac3b1,1b3cad1
dac3b2,2b3cad2
dac321,123cad1
dac32b,b23cadb
da31b2,2b13ad2
da31bc,cb13adc
da312b,b213adb
da312c,c213adc
da31cb,bc13adb
da31c2,2c13ad2
da3b12,21b3ad2
da3b1c,c1b3adc
da3b21,12b3ad1
da3b2c,c2b3adc
da3bc1,1cb3ad1
da3bc2,2cb3ad2
da321b,b123adb
da321c,c123adc
da32b1,1b23ad1
da32bc,cb23adc
da32c1,1c23ad1
da32cb,bc23adb
da3c1b,b1c3adb
da3c12,21c3ad2
da3cb1,1bc3ad1
da3cb2,2bc3ad2
da3c21,12c3ad1
da3c2b,b2c3adb
d1ab2c,c2ba1dc
d1ab23,32ba1d3
d1abc2,2cba1d2
d1abc3,3cba1d3
d1ab32,23ba1d2
d1ab3c,c3ba1dc
d1a2bc,cb2a1dc
d1a2b3,3b2a1d3
d1a2cb,bc2a1db
d1a2c3,3c2a1d3
d1a23b,b32a1db
d1a23c,c32a1dc
d1acb2,2bca1d2
d1acb3,3bca1d3
d1ac2b,b2ca1db
d1ac23,32ca1d3
d1ac3b,b3ca1db
d1ac32,23ca1d2
d1a3b2,2b3a1d2
d1a3bc,cb3a1dc
d1a32b,b23a1db
d1a32c,c23a1dc
d1a3cb,bc3a1db
d1a3c2,2c3a1d2
d1ba2c,c2ab1dc
d1ba23,32ab1d3
d1bac2,2cab1d2
d1bac3,3cab1d3
d1ba32,23ab1d2
d1ba3c,c3ab1dc
d1b2ac,ca2b1dc
d1b2a3,3a2b1d3
d1b2ca,ac2b1da
d1b2c3,3c2b1d3
d1b23a,a32b1da
d1b23c,c32b1dc
d1bca2,2acb1d2
d1bca3,3acb1d3
d1bc2a,a2cb1da
d1bc23,32cb1d3
d1bc3a,a3cb1da
d1bc32,23cb1d2
d1b3a2,2a3b1d2
d1b3ac,ca3b1dc
d1b32a,a23b1da
d1b32c,c23b1dc
d1b3ca,ac3b1da
d1b3c2,2c3b1d2
d12abc,cba21dc
d12ab3,3ba21d3
d12acb,bca21db
d12ac3,3ca21d3
d12a3b,b3a21db
d12a3c,c3a21dc
d12bac,cab21dc
d12ba3,3ab21d3
d12bca,acb21da
d12bc3,3cb21d3
d12b3a,a3b21da
d12b3c,c3b21dc
d12cab,bac21db
d12ca3,3ac21d3
d12cba,abc21da
d12cb3,3bc21d3
d12c3a,a3c21da
d12c3b,b3c21db
d123ab,ba321db
d123ac,ca321dc
d123ba,ab321da
d123bc,cb321dc
d123ca,ac321da
d123cb,bc321db
d1cab2,2bac1d2
d1cab3,3bac1d3
d1ca2b,b2ac1db
d1ca23,32ac1d3
d1ca3b,b3ac1db
d1ca32,23ac1d2
d1cba2,2abc1d2
d1cba3,3abc1d3
d1cb2a,a2bc1da
d1cb23,32bc1d3
d1cb3a,a3bc1da
d1cb32,23bc1d2
d1c2ab,ba2c1db
d1c2a3,3a2c1d3
d1c2ba,ab2c1da
d1c2b3,3b2c1d3
d1c23a,a32c1da
d1c23b,b32c1db
d1c3ab,ba3c1db
d1c3a2,2a3c1d2
d1c3ba,ab3c1da
d1c3b2,2b3c1d2
d1c32a,a23c1da
d1c32b,b23c1db
d13ab2,2ba31d2
d13abc,cba31dc
d13a2b,b2a31db
d13a2c,c2a31dc
d13acb,bca31db
d13ac2,2ca31d2
d13ba2,2ab31d2
d13bac,cab31dc
d13b2a,a2b31da
d13b2c,c2b31dc
d13bca,acb31da
d13bc2,2cb31d2
d132ab,ba231db
d132ac,ca231dc
d132ba,ab231da
d132bc,cb231dc
d132ca,ac231da
d132cb,bc231db
d13cab,bac31db
d13ca2,2ac31d2
d13cba,abc31da
d13cb2,2bc31d2
d13c2a,a2c31da
d13c2b,b2c31db
dba12c,c21abdc
dba123,321abd3
dba1c2,2c1abd2
dba1c3,3c1abd3
dba132,231abd2
dba13c,c31abdc
dba21c,c12abdc
dba213,312abd3
dba2c1,1c2abd1
dba2c3,3c2abd3
dba231,132abd1
dba23c,c32abdc
dbac12,21cabd2
dbac13,31cabd3
dbac21,12cabd1
dbac23,32cabd3
dbac31,13cabd1
dbac32,23cabd2
dba312,213abd2
dba31c,c13abdc
dba321,123abd1
dba32c,c23abdc
dba3c1,1c3abd1
dba3c2,2c3abd2
