a,aaa3c2b1
b41d3a2,2a3d14b2
b41d3ac,ca3d14bc
b41d32a,a23d14ba
b41d32c,c23d14bc
b41d3ca,ac3d14ba
b41d3c2,2c3d14b2
b42a1c3,3c1a24b3
b42a1cd,dc1a24bd
b42a13c,c31a24bc
b42a13d,d31a24bd
b42a1dc,cd1a24bc
b42a1d3,3d1a24b3
b42ac13,31ca24b3
b42ac1d,d1ca24bd
b42ac31,13ca24b1
b42ac3d,d3ca24bd
b42acd1,1dca24b1
b42acd3,3dca24b3
b42a31c,c13a24bc
b42a31d,d13a24bd
b42a3c1,1c3a24b1
b42a3cd,dc3a24bd
b42a3d1,1d3a24b1
b42a3dc,cd3a24bc
b42ad1c,c1da24bc
b42ad13,31da24b3
b42adc1,1cda24b1
b42adc3,3cda24b3
b42ad31,13da24b1
b42ad3c,c3da24bc
b421ac3,3ca124b3
b421acd,dca124bd
b421a3c,c3a124bc
b421a3d,d3a124bd
b421adc,cda124bc
b421ad3,3da124b3
b421ca3,3ac124b3
b421cad,dac124bd
b421c3a,a3c124ba
b421c3d,d3c124bd
b421cda,adc124ba
b421cd3,3dc124b3
b4213ac,ca3124bc
b4213ad,da3124bd
b4213ca,ac3124ba
b4213cd,dc3124bd
b4213da,ad3124ba
b4213dc,cd3124bc
b421dac,cad124bc
b421da3,3ad124b3
b421dca,acd124ba
b421dc3,3cd124b3
b421d3a,a3d124ba
b421d3c,c3d124bc
b42ca13,31ac24b3
b42ca1d,d1ac24bd
b42ca31,13ac24b1
b42ca3d,d3ac24bd
b42cad1,1dac24b1
b42cad3,3dac24b3
b42c1a3,3a1c24b3
b42c1ad,da1c24bd
b42c13a,a31c24ba
b42c13d,d31c24bd
b42c1da,ad1c24ba
b42c1d3,3d1c24b3
b42c3a1,1a3c24b1
b42c3ad,da3c24bd
b42c31a,a13c24ba
b42c31d,d13c24bd
b42c3da,ad3c24ba
b42c3d1,1d3c24b1
b42cda1,1adc24b1
b42cda3,3adc24b3
b42cd1a,a1dc24ba
b42cd13,31dc24b3
b42cd3a,a3dc24ba
b42cd31,13dc24b1
b423a1c,c1a324bc
b423a1d,d1a324bd
b423ac1,1ca324b1
b423acd,dca324bd
b423ad1,1da324b1
b423adc,cda324bc
b4231ac,ca1324bc
b4231ad,da1324bd
b4231ca,ac1324ba
b4231cd,dc1324bd
b4231da,ad1324ba
b4231dc,cd1324bc
b423ca1,1ac324b1
b423cad,dac324bd
b423c1a,a1c324ba
b423c1d,d1c324bd
b423cda,adc324ba
b423cd1,1dc324b1
b423da1,1ad324b1
b423dac,cad324bc
b423d1a,a1d324ba
b423d1c,c1d324bc
b423dca,acd324ba
b423dc1,1cd324b1
b42da1c,c1ad24bc
b42da13,31ad24b3
b42dac1,1cad24b1
b42dac3,3cad24b3
b42da31,13ad24b1
b42da3c,c3ad24bc
b42d1ac,ca1d24bc
b42d1a3,3a1d24b3
b42d1ca,ac1d24ba
b42d1c3,3c1d24b3
b42d13a,a31d24ba
b42d13c,c31d24bc
b42dca1,1acd24b1
b42dca3,3acd24b3
b42dc1a,a1cd24ba
b42dc13,31cd24b3
b42dc3a,a3cd24ba
b42dc31,13cd24b1
b42d3a1,1a3d24b1
b42d3ac,ca3d24bc
b42d31a,a13d24ba
b42d31c,c13d24bc
b42d3ca,ac3d24ba
b42d3c1,1c3d24b1
b4ca123,321ac4b3
b4ca12d,d21ac4bd
b4ca132,231ac4b2
b4ca13d,d31ac4bd
b4ca1d2,2d1ac4b2
b4ca1d3,3d1ac4b3
b4ca213,312ac4b3
b4ca21d,d12ac4bd
b4ca231,132ac4b1
b4ca23d,d32ac4bd
b4ca2d1,1d2ac4b1
b4ca2d3,3d2ac4b3
b4ca312,213ac4b2
b4ca31d,d13ac4bd
b4ca321,123ac4b1
b4ca32d,d23ac4bd
b4ca3d1,1d3ac4b1
b4ca3d2,2d3ac4b2
b4cad12,21dac4b2
b4cad13,31dac4b3
b4cad21,12dac4b1
b4cad23,32dac4b3
b4cad31,13dac4b1
b4cad32,23dac4b2
b4c1a23,32a1c4b3
b4c1a2d,d2a1c4bd
b4c1a32,23a1c4b2
b4c1a3d,d3a1c4bd
b4c1ad2,2da1c4b2
b4c1ad3,3da1c4b3
b4c12a3,3a21c4b3
b4c12ad,da21c4bd
b4c123a,a321c4ba
b4c123d,d321c4bd
b4c12da,ad21c4ba
b4c12d3,3d21c4b3
b4c13a2,2a31c4b2
b4c13ad,da31c4bd
b4c132a,a231c4ba
b4c132d,d231c4bd
b4c13da,ad31c4ba
b4c13d2,2d31c4b2
b4c1da2,2ad1c4b2
b4c1da3,3ad1c4b3
b4c1d2a,a2d1c4ba
b4c1d23,32d1c4b3
b4c1d3a,a3d1c4ba
b4c1d32,23d1c4b2
b4c2a13,31a2c4b3
b4c2a1d,d1a2c4bd
b4c2a31,13a2c4b1
b4c2a3d,d3a2c4bd
b4c2ad1,1da2c4b1
b4c2ad3,3da2c4b3
b4c21a3,3a12c4b3
b4c21ad,da12c4bd
b4c213a,a312c4ba
b4c213d,d312c4bd
b4c21da,ad12c4ba
b4c21d3,3d12c4b3
b4c23a1,1a32c4b1
b4c23ad,da32c4bd
b4c231a,a132c4ba
b4c231d,d132c4bd
b4c23da,ad32c4ba
b4c23d1,1d32c4b1
b4c2da1,1ad2c4b1
b4c2da3,3ad2c4b3
b4c2d1a,a1d2c4ba
b4c2d13,31d2c4b3
b4c2d3a,a3d2c4ba
b4c2d31,13d2c4b1
b4c3a12,21a3c4b2
b4c3a1d,d1a3c4bd
b4c3a21,12a3c4b1
b4c3a2d,d2a3c4bd
b4c3ad1,1da3c4b1
b4c3ad2,2da3c4b2
b4c31a2,2a13c4b2
b4c31ad,da13c4bd
b4c312a,a213c4ba
b4c312d,d213c4bd
b4c31da,ad13c4ba
b4c31d2,2d13c4b2
b4c32a1,1a23c4b1
b4c32ad,da23c4bd
b4c321a,a123c4ba
b4c321d,d123c4bd
b4c32da,ad23c4ba
b4c32d1,1d23c4b1
b4c3da1,1ad3c4b1
b4c3da2,2ad3c4b2
b4c3d1a,a1d3c4ba
b4c3d12,21d3c4b2
b4c3d2a,a2d3c4ba
b4c3d21,12d3c4b1
b4cda12,21adc4b2
b4cda13,31adc4b3
b4cda21,12adc4b1
b4cda23,32adc4b3
b4cda31,13adc4b1
b4cda32,23adc4b2
b4cd1a2,2a1dc4b2
b4cd1a3,3a1dc4b3
b4cd12a,a21dc4ba
b4cd123,321dc4b3
b4cd13a,a31dc4ba
b4cd132,231dc4b2
b4cd2a1,1a2dc4b1
b4cd2a3,3a2dc4b3
b4cd21a,a12dc4ba
b4cd213,312dc4b3
b4cd23a,a32dc4ba
b4cd231,132dc4b1
b4cd3a1,1a3dc4b1
b4cd3a2,2a3dc4b2
b4cd31a,a13dc4ba
b4cd312,213dc4b2
b4cd32a,a23dc4ba
b4cd321,123dc4b1
b43a12c,c21a34bc
b43a12d,d21a34bd
b43a1c2,2c1a34b2
b43a1cd,dc1a34bd
b43a1d2,2d1a34b2
b43a1dc,cd1a34bc
b43a21c,c12a34bc
b43a21d,d12a34bd
b43a2c1,1c2a34b1
b43a2cd,dc2a34bd
b43a2d1,1d2a34b1
b43a2dc,cd2a34bc
b43ac12,21ca34b2
b43ac1d,d1ca34bd
b43ac21,12ca34b1
b43ac2d,d2ca34bd
b43acd1,1dca34b1
b43acd2,2dca34b2
b43ad12,21da34b2
b43ad1c,c1da34bc
b43ad21,12da34b1
b43ad2c,c2da34bc
b43adc1,1cda34b1
b43adc2,2cda34b2
b431a2c,c2a134bc
b431a2d,d2a134bd
b431ac2,2ca134b2
b431acd,dca134bd
b431ad2,2da134b2
b431adc,cda134bc
b4312ac,ca2134bc
b4312ad,da2134bd
b4312ca,ac2134ba
b4312cd,dc2134bd
b4312da,ad2134ba
b4312dc,cd2134bc
b431ca2,2ac134b2
b431cad,dac134bd
b431c2a,a2c134ba
b431c2d,d2c134bd
b431cda,adc134ba
b431cd2,2dc134b2
b431da2,2ad134b2
b431dac,cad134bc
b431d2a,a2d134ba
b431d2c,c2d134bc
b431dca,acd134ba
b431dc2,2cd134b2
b432a1c,c1a234bc
b432a1d,d1a234bd
b432ac1,1ca234b1
b432acd,dca234bd
b432ad1,1da234b1
b432adc,cda234bc
b4321ac,ca1234bc
b4321ad,da1234bd
b4321ca,ac1234ba
b4321cd,dc1234bd
b4321da,ad1234ba
b4321dc,cd1234bc
b432ca1,1ac234b1
b432cad,dac234bd
b432c1a,a1c234ba
b432c1d,d1c234bd
b432cda,adc234ba
b432cd1,1dc234b1
b432da1,1ad234b1
b432dac,cad234bc
b432d1a,a1d234ba
b432d1c,c1d234bc
b432dca,acd234ba
b432dc1,1cd234b1
b43ca12,21ac34b2
b43ca1d,d1ac34bd
b43ca21,12ac34b1
b43ca2d,d2ac34bd
b43cad1,1dac34b1
b43cad2,2dac34b2
b43c1a2,2a1c34b2
b43c1ad,da1c34bd
b43c12a,a21c34ba
b43c12d,d21c34bd
b43c1da,ad1c34ba
b43c1d2,2d1c34b2
b43c2a1,1a2c34b1
b43c2ad,da2c34bd
b43c21a,a12c34ba
b43c21d,d12c34bd
b43c2da,ad2c34ba
b43c2d1,1d2c34b1
b43cda1,1adc34b1
b43cda2,2adc34b2
b43cd1a,a1dc34ba
b43cd12,21dc34b2
b43cd2a,a2dc34ba
b43cd21,12dc34b1
b43da12,21ad34b2
b43da1c,c1ad34bc
b43da21,12ad34b1
b43da2c,c2ad34bc
b43dac1,1cad34b1
b43dac2,2cad34b2
b43d1a2,2a1d34b2
b43d1ac,ca1d34bc
b43d12a,a21d34ba
b43d12c,c21d34bc
b43d1ca,ac1d34ba
b43d1c2,2c1d34b2
b43d2a1,1a2d34b1
b43d2ac,ca2d34bc
b43d21a,a12d34ba
b43d21c,c12d34bc
b43d2ca,ac2d34ba
b43d2c1,1c2d34b1
b43dca1,1acd34b1
b43dca2,2acd34b2
b43dc1a,a1cd34ba
b43dc12,21cd34b2
b43dc2a,a2cd34ba
b43dc21,12cd34b1
b4da12c,c21ad4bc
b4da123,321ad4b3
b4da1c2,2c1ad4b2
b4da1c3,3c1ad4b3
b4da132,231ad4b2
b4da13c,c31ad4bc
b4da21c,c12ad4bc
b4da213,312ad4b3
b4da2c1,1c2ad4b1
b4da2c3,3c2ad4b3
b4da231,132ad4b1
b4da23c,c32ad4bc
b4dac12,21cad4b2
b4dac13,31cad4b3
b4dac21,12cad4b1
b4dac23,32cad4b3
b4dac31,13cad4b1
b4dac32,23cad4b2
b4da312,213ad4b2
b4da31c,c13ad4bc
b4da321,123ad4b1
b4da32c,c23ad4bc
b4da3c1,1c3ad4b1
b4da3c2,2c3ad4b2
b4d1a2c,c2a1d4bc
b4d1a23,32a1d4b3
b4d1ac2,2ca1d4b2
b4d1ac3,3ca1d4b3
b4d1a32,23a1d4b2
b4d1a3c,c3a1d4bc
b4d12ac,ca21d4bc
b4d12a3,3a21d4b3
b4d12ca,ac21d4ba
b4d12c3,3c21d4b3
b4d123a,a321d4ba
b4d123c,c321d4bc
b4d1ca2,2ac1d4b2
b4d1ca3,3ac1d4b3
b4d1c2a,a2c1d4ba
b4d1c23,32c1d4b3
b4d1c3a,a3c1d4ba
b4d1c32,23c1d4b2
b4d13a2,2a31d4b2
b4d13ac,ca31d4bc
b4d132a,a231d4ba
b4d132c,c231d4bc
b4d13ca,ac31d4ba
b4d13c2,2c31d4b2
b4d2a1c,c1a2d4bc
b4d2a13,31a2d4b3
b4d2ac1,1ca2d4b1
b4d2ac3,3ca2d4b3
b4d2a31,13a2d4b1
b4d2a3c,c3a2d4bc
b4d21ac,ca12d4bc
b4d21a3,3a12d4b3
b4d21ca,ac12d4ba
b4d21c3,3c12d4b3
b4d213a,a312d4ba
b4d213c,c312d4bc
b4d2ca1,1ac2d4b1
b4d2ca3,3ac2d4b3
b4d2c1a,a1c2d4ba
b4d2c13,31c2d4b3
b4d2c3a,a3c2d4ba
b4d2c31,13c2d4b1
b4d23a1,1a32d4b1
b4d23ac,ca32d4bc
b4d231a,a132d4ba
b4d231c,c132d4bc
b4d23ca,ac32d4ba
b4d23c1,1c32d4b1
b4dca12,21acd4b2
b4dca13,31acd4b3
b4dca21,12acd4b1
b4dca23,32acd4b3
b4dca31,13acd4b1
b4dca32,23acd4b2
b4dc1a2,2a1cd4b2
b4dc1a3,3a1cd4b3
b4dc12a,a21cd4ba
b4dc123,321cd4b3
b4dc13a,a31cd4ba
b4dc132,231cd4b2
b4dc2a1,1a2cd4b1
b4dc2a3,3a2cd4b3
b4dc21a,a12cd4ba
b4dc213,312cd4b3
b4dc23a,a32cd4ba
b4dc231,132cd4b1
b4dc3a1,1a3cd4b1
b4dc3a2,2a3cd4b2
b4dc31a,a13cd4ba
b4dc312,213cd4b2
b4dc32a,a23cd4ba
b4dc321,123cd4b1
b4d3a12,21a3d4b2
b4d3a1c,c1a3d4bc
b4d3a21,12a3d4b1
b4d3a2c,c2a3d4bc
b4d3ac1,1ca3d4b1
b4d3ac2,2ca3d4b2
b4d31a2,2a13d4b2
b4d31ac,ca13d4bc
b4d312a,a213d4ba
b4d312c,c213d4bc
b4d31ca,ac13d4ba
b4d31c2,2c13d4b2
b4d32a1,1a23d4b1
b4d32ac,ca23d4bc
b4d321a,a123d4ba
b4d321c,c123d4bc
b4d32ca,ac23d4ba
b4d32c1,1c23d4b1
b4d3ca1,1ac3d4b1
b4d3ca2,2ac3d4b2
b4d3c1a,a1c3d4ba
b4d3c12,21c3d4b2
b4d3c2a,a2c3d4ba
b4d3c21,12c3d4b1
2a1bc3d,d3cb1a2d
2a1bc34,43cb1a24
2a1bcd3,3dcb1a23
2a1bcd4,4dcb1a24
2a1bc43,34cb1a23
2a1bc4d,d4cb1a2d
2a1b3cd,dc3b1a2d
2a1b3c4,4c3b1a24
2a1b3dc,cd3b1a2c
2a1b3d4,4d3b1a24
2a1b34c,c43b1a2c
2a1b34d,d43b1a2d
2a1bdc3,3cdb1a23
2a1bdc4,4cdb1a24
2a1bd3c,c3db1a2c
2a1bd34,43db1a24
2a1bd4c,c4db1a2c
2a1bd43,34db1a23
2a1b4c3,3c4b1a23
2a1b4cd,dc4b1a2d
2a1b43c,c34b1a2c
2a1b43d,d34b1a2d
2a1b4dc,cd4b1a2c
2a1b4d3,3d4b1a23
2a1cb3d,d3bc1a2d
2a1cb34,43bc1a24
2a1cbd3,3dbc1a23
2a1cbd4,4dbc1a24
2a1cb43,34bc1a23
2a1cb4d,d4bc1a2d
2a1c3bd,db3c1a2d
2a1c3b4,4b3c1a24
2a1c3db,bd3c1a2b
2a1c3d4,4d3c1a24
2a1c34b,b43c1a2b
2a1c34d,d43c1a2d
2a1cdb3,3bdc1a23
2a1cdb4,4bdc1a24
2a1cd3b,b3dc1a2b
2a1cd34,43dc1a24
2a1cd4b,b4dc1a2b
2a1cd43,34dc1a23
2a1c4b3,3b4c1a23
2a1c4bd,db4c1a2d
2a1c43b,b34c1a2b
2a1c43d,d34c1a2d
2a1c4db,bd4c1a2b
2a1c4d3,3d4c1a23
2a13bcd,dcb31a2d
2a13bc4,4cb31a24
2a13bdc,cdb31a2c
2a13bd4,4db31a24
2a13b4c,c4b31a2c
2a13b4d,d4b31a2d
2a13cbd,dbc31a2d
2a13cb4,4bc31a24
2a13cdb,bdc31a2b
2a13cd4,4dc31a24
2a13c4b,b4c31a2b
2a13c4d,d4c31a2d
2a13dbc,cbd31a2c
2a13db4,4bd31a24
2a13dcb,bcd31a2b
2a13dc4,4cd31a24
2a13d4b,b4d31a2b
2a13d4c,c4d31a2c
2a134bc,cb431a2c
2a134bd,db431a2d
2a134cb,bc431a2b
2a134cd,dc431a2d
2a134db,bd431a2b
2a134dc,cd431a2c
2a1dbc3,3cbd1a23
2a1dbc4,4cbd1a24
2a1db3c,c3bd1a2c
2a1db34,43bd1a24
2a1db4c,c4bd1a2c
2a1db43,34bd1a23
2a1dcb3,3bcd1a23
2a1dcb4,4bcd1a24
2a1dc3b,b3cd1a2b
2a1dc34,43cd1a24
2a1dc4b,b4cd1a2b
2a1dc43,34cd1a23
2a1d3bc,cb3d1a2c
2a1d3b4,4b3d1a24
2a1d3cb,bc3d1a2b
2a1d3c4,4c3d1a24
2a1d34b,b43d1a2b
2a1d34c,c43d1a2c
2a1d4bc,cb4d1a2c
2a1d4b3,3b4d1a23
2a1d4cb,bc4d1a2b
2a1d4c3,3c4d1a23
2a1d43b,b34d1a2b
2a1d43c,c34d1a2c
2a14bc3,3cb41a23
2a14bcd,dcb41a2d
2a14b3c,c3b41a2c
2a14b3d,d3b41a2d
2a14bdc,cdb41a2c
2a14bd3,3db41a23
2a14cb3,3bc41a23
2a14cbd,dbc41a2d
2a14c3b,b3c41a2b
2a14c3d,d3c41a2d
2a14cdb,bdc41a2b
2a14cd3,3dc41a23
2a143bc,cb341a2c
2a143bd,db341a2d
2a143cb,bc341a2b
2a143cd,dc341a2d
2a143db,bd341a2b
2a143dc,cd341a2c
2a14dbc,cbd41a2c
2a14db3,3bd41a23
2a14dcb,bcd41a2b
2a14dc3,3cd41a23
2a14d3b,b3d41a2b
2a14d3c,c3d41a2c
2ab1c3d,d3c1ba2d
2ab1c34,43c1ba24
2ab1cd3,3dc1ba23
2ab1cd4,4dc1ba24
2ab1c43,34c1ba23
2ab1c4d,d4c1ba2d
2ab13cd,dc31ba2d
2ab13c4,4c31ba24
2ab13dc,cd31ba2c
2ab13d4,4d31ba24
2ab134c,c431ba2c
2ab134d,d431ba2d
2ab1dc3,3cd1ba23
2ab1dc4,4cd1ba24
2ab1d3c,c3d1ba2c
2ab1d34,43d1ba24
2ab1d4c,c4d1ba2c
2ab1d43,34d1ba23
2ab14c3,3c41ba23
2ab14cd,dc41ba2d
2ab143c,c341ba2c
2ab143d,d341ba2d
2ab14dc,cd41ba2c
2ab14d3,3d41ba23
2abc13d,d31cba2d
2abc134,431cba24
2abc1d3,3d1cba23
2abc1d4,4d1cba24
2abc143,341cba23
2abc14d,d41cba2d
2abc31d,d13cba2d
2abc314,413cba24
2abc3d1,1d3cba21
2abc3d4,4d3cba24
2abc341,143cba21
2abc34d,d43cba2d
2abcd13,31dcba23
2abcd14,41dcba24
2abcd31,13dcba21
2abcd34,43dcba24
2abcd41,14dcba21
2abcd43,34dcba23
2abc413,314cba23
2abc41d,d14cba2d
2abc431,134cba21
2abc43d,d34cba2d
2abc4d1,1d4cba21
2abc4d3,3d4cba23
2ab31cd,dc13ba2d
2ab31c4,4c13ba24
2ab31dc,cd13ba2c
2ab31d4,4d13ba24
2ab314c,c413ba2c
2ab314d,d413ba2d
2ab3c1d,d1c3ba2d
2ab3c14,41c3ba24
2ab3cd1,1dc3ba21
2ab3cd4,4dc3ba24
2ab3c41,14c3ba21
2ab3c4d,d4c3ba2d
2ab3d1c,c1d3ba2c
2ab3d14,41d3ba24
2ab3dc1,1cd3ba21
2ab3dc4,4cd3ba24
2ab3d41,14d3ba21
2ab3d4c,c4d3ba2c
2ab341c,c143ba2c
2ab341d,d143ba2d
2ab34c1,1c43ba21
2ab34cd,dc43ba2d
2ab34d1,1d43ba21
2ab34dc,cd43ba2c
2abd1c3,3c1dba23
2abd1c4,4c1dba24
2abd13c,c31dba2c
2abd134,431dba24
2abd14c,c41dba2c
2abd143,341dba23
2abdc13,31cdba23
2abdc14,41cdba24
2abdc31,13cdba21
2abdc34,43cdba24
2abdc41,14cdba21
2abdc43,34cdba23
2abd31c,c13dba2c
2abd314,413dba24
2abd3c1,1c3dba21
2abd3c4,4c3dba24
2abd341,143dba21
2abd34c,c43dba2c
2abd41c,c14dba2c
2abd413,314dba23
2abd4c1,1c4dba21
2abd4c3,3c4dba23
2abd431,134dba21
2abd43c,c34dba2c
2ab41c3,3c14ba23
2ab41cd,dc14ba2d
2ab413c,c314ba2c
2ab413d,d314ba2d
2ab41dc,cd14ba2c
2ab41d3,3d14ba23
2ab4c13,31c4ba23
2ab4c1d,d1c4ba2d
2ab4c31,13c4ba21
2ab4c3d,d3c4ba2d
2ab4cd1,1dc4ba21
2ab4cd3,3dc4ba23
2ab431c,c134ba2c
2ab431d,d134ba2d
2ab43c1,1c34ba21
2ab43cd,dc34ba2d
2ab43d1,1d34ba21
2ab43dc,cd34ba2c
2ab4d1c,c1d4ba2c
2ab4d13,31d4ba23
2ab4dc1,1cd4ba21
2ab4dc3,3cd4ba23
2ab4d31,13d4ba21
2ab4d3c,c3d4ba2c
2ac1b3d,d3b1ca2d
2ac1b34,43b1ca24
2ac1bd3,3db1ca23
2ac1bd4,4db1ca24
2ac1b43,34b1ca23
2ac1b4d,d4b1ca2d
2ac13bd,db31ca2d
2ac13b4,4b31ca24
2ac13db,bd31ca2b
2ac13d4,4d31ca24
2ac134b,b431ca2b
2ac134d,d431ca2d
2ac1db3,3bd1ca23
2ac1db4,4bd1ca24
2ac1d3b,b3d1ca2b
2ac1d34,43d1ca24
2ac1d4b,b4d1ca2b
2ac1d43,34d1ca23
2ac14b3,3b41ca23
2ac14bd,db41ca2d
2ac143b,b341ca2b
2ac143d,d341ca2d
2ac14db,bd41ca2b
2ac14d3,3d41ca23
2acb13d,d31bca2d
2acb134,431bca24
2acb1d3,3d1bca23
2acb1d4,4d1bca24
2acb143,341bca23
2acb14d,d41bca2d
2acb31d,d13bca2d
2acb314,413bca24
2acb3d1,1d3bca21
2acb3d4,4d3bca24
2acb341,143bca21
2acb34d,d43bca2d
2acbd13,31dbca23
2acbd14,41dbca24
2acbd31,13dbca21
2acbd34,43dbca24
2acbd41,14dbca21
2acbd43,34dbca23
2acb413,314bca23
2acb41d,d14bca2d
2acb431,134bca21
2acb43d,d34bca2d
2acb4d1,1d4bca21
2acb4d3,3d4bca23
2ac31bd,db13ca2d
2ac31b4,4b13ca24
2ac31db,bd13ca2b
2ac31d4,4d13ca24
2ac314b,b413ca2b
2ac314d,d413ca2d
2ac3b1d,d1b3ca2d
2ac3b14,41b3ca24
2ac3bd1,1db3ca21
2ac3bd4,4db3ca24
2ac3b41,14b3ca21
2ac3b4d,d4b3ca2d
2ac3d1b,b1d3ca2b
2ac3d14,41d3ca24
2ac3db1,1bd3ca21
2ac3db4,4bd3ca24
2ac3d41,14d3ca21
2ac3d4b,b4d3ca2b
2ac341b,b143ca2b
2ac341d,d143ca2d
2ac34b1,1b43ca21
2ac34bd,db43ca2d
2ac34d1,1d43ca21
2ac34db,bd43ca2b
2acd1b3,3b1dca23
2acd1b4,4b1dca24
2acd13b,b31dca2b
2acd134,431dca24
2acd14b,b41dca2b
2acd143,341dca23
2acdb13,31bdca23
2acdb14,41bdca24
2acdb31,13bdca21
2acdb34,43bdca24
2acdb41,14bdca21
2acdb43,34bdca23
2acd31b,b13dca2b
2acd314,413dca24
2acd3b1,1b3dca21
2acd3b4,4b3dca24
2acd341,143dca21
2acd34b,b43dca2b
2acd41b,b14dca2b
2acd413,314dca23
2acd4b1,1b4dca21
2acd4b3,3b4dca23
2acd431,134dca21
2acd43b,b34dca2b
2ac41b3,3b14ca23
2ac41bd,db14ca2d
2ac413b,b314ca2b
2ac413d,d314ca2d
2ac41db,bd14ca2b
2ac41d3,3d14ca23
2ac4b13,31b4ca23
2ac4b1d,d1b4ca2d
2ac4b31,13b4ca21
2ac4b3d,d3b4ca2d
2ac4bd1,1db4ca21
2ac4bd3,3db4ca23
2ac431b,b134ca2b
2ac431d,d134ca2d
2ac43b1,1b34ca21
2ac43bd,db34ca2d
2ac43d1,1d34ca21
2ac43db,bd34ca2b
2ac4d1b,b1d4ca2b
2ac4d13,31d4ca23
2ac4db1,1bd4ca21
2ac4db3,3bd4ca23
2ac4d31,13d4ca21
2ac4d3b,b3d4ca2b
2a31bcd,dcb13a2d
2a31bc4,4cb13a24
2a31bdc,cdb13a2c
2a31bd4,4db13a24
2a31b4c,c4b13a2c
2a31b4d,d4b13a2d
2a31cbd,dbc13a2d
2a31cb4,4bc13a24
2a31cdb,bdc13a2b
2a31cd4,4dc13a24
2a31c4b,b4c13a2b
2a31c4d,d4c13a2d
2a31dbc,cbd13a2c
2a31db4,4bd13a24
2a31dcb,bcd13a2b
2a31dc4,4cd13a24
2a31d4b,b4d13a2b
2a31d4c,c4d13a2c
2a314bc,cb413a2c
2a314bd,db413a2d
2a314cb,bc413a2b
2a314cd,dc413a2d
2a314db,bd413a2b
2a314dc,cd413a2c
2a3b1cd,dc1b3a2d
2a3b1c4,4c1b3a24
2a3b1dc,cd1b3a2c
2a3b1d4,4d1b3a24
2a3b14c,c41b3a2c
2a3b14d,d41b3a2d
2a3bc1d,d1cb3a2d
2a3bc14,41cb3a24
2a3bcd1,1dcb3a21
2a3bcd4,4dcb3a24
2a3bc41,14cb3a21
2a3bc4d,d4cb3a2d
2a3bd1c,c1db3a2c
2a3bd14,41db3a24
2a3bdc1,1cdb3a21
2a3bdc4,4cdb3a24
2a3bd41,14db3a21
2a3bd4c,c4db3a2c
2a3b41c,c14b3a2c
2a3b41d,d14b3a2d
2a3b4c1,1c4b3a21
2a3b4cd,dc4b3a2d
2a3b4d1,1d4b3a21
2a3b4dc,cd4b3a2c
2a3c1bd,db1c3a2d
2a3c1b4,4b1c3a24
2a3c1db,bd1c3a2b
2a3c1d4,4d1c3a24
2a3c14b,b41c3a2b
2a3c14d,d41c3a2d
2a3cb1d,d1bc3a2d
2a3cb14,41bc3a24
2a3cbd1,1dbc3a21
2a3cbd4,4dbc3a24
2a3cb41,14bc3a21
2a3cb4d,d4bc3a2d
2a3cd1b,b1dc3a2b
2a3cd14,41dc3a24
2a3cdb1,1bdc3a21
2a3cdb4,4bdc3a24
2a3cd41,14dc3a21
2a3cd4b,b4dc3a2b
2a3c41b,b14c3a2b
2a3c41d,d14c3a2d
2a3c4b1,1b4c3a21
2a3c4bd,db4c3a2d
2a3c4d1,1d4c3a21
2a3c4db,bd4c3a2b
2a3d1bc,cb1d3a2c
2a3d1b4,4b1d3a24
2a3d1cb,bc1d3a2b
2a3d1c4,4c1d3a24
2a3d14b,b41d3a2b
2a3d14c,c41d3a2c
2a3db1c,c1bd3a2c
2a3db14,41bd3a24
2a3dbc1,1cbd3a21
2a3dbc4,4cbd3a24
2a3db41,14bd3a21
2a3db4c,c4bd3a2c
2a3dc1b,b1cd3a2b
2a3dc14,41cd3a24
2a3dcb1,1bcd3a21
2a3dcb4,4bcd3a24
2a3dc41,14cd3a21
2a3dc4b,b4cd3a2b
2a3d41b,b14d3a2b
2a3d41c,c14d3a2c
2a3d4b1,1b4d3a21
2a3d4bc,cb4d3a2c
2a3d4c1,1c4d3a21
2a3d4cb,bc4d3a2b
2a341bc,cb143a2c
2a341bd,db143a2d
2a341cb,bc143a2b
2a341cd,dc143a2d
2a341db,bd143a2b
2a341dc,cd143a2c
2a34b1c,c1b43a2c
2a34b1d,d1b43a2d
2a34bc1,1cb43a21
2a34bcd,dcb43a2d
2a34bd1,1db43a21
2a34bdc,cdb43a2c
2a34c1b,b1c43a2b
2a34c1d,d1c43a2d
2a34cb1,1bc43a21
2a34cbd,dbc43a2d
2a34cd1,1dc43a21
2a34cdb,bdc43a2b
2a34d1b,b1d43a2b
2a34d1c,c1d43a2c
2a34db1,1bd43a21
2a34dbc,cbd43a2c
2a34dc1,1cd43a21
2a34dcb,bcd43a2b
2ad1bc3,3cb1da23
2ad1bc4,4cb1da24
2ad1b3c,c3b1da2c
2ad1b34,43b1da24
2ad1b4c,c4b1da2c
2ad1b43,34b1da23
2ad1cb3,3bc1da23
2ad1cb4,4bc1da24
2ad1c3b,b3c1da2b
2ad1c34,43c1da24
2ad1c4b,b4c1da2b
2ad1c43,34c1da23
2ad13bc,cb31da2c
2ad13b4,4b31da24
2ad13cb,bc31da2b
2ad13c4,4c31da24
2ad134b,b431da2b
2ad134c,c431da2c
2ad14bc,cb41da2c
