a,aaaedcb
efadbc,cbdafec
efadbg,gbdafeg
efadcb,bcdafeb
efadcg,gcdafeg
efadgb,bgdafeb
efadgc,cgdafec
efagbc,cbgafec
efagbd,dbgafed
efagcb,bcgafeb
efagcd,dcgafed
efagdb,bdgafeb
efagdc,cdgafec
efbacd,dcabfed
efbacg,gcabfeg
efbadc,cdabfec
efbadg,gdabfeg
efbagc,cgabfec
efbagd,dgabfed
efbcad,dacbfed
efbcag,gacbfeg
efbcda,adcbfea
efbcdg,gdcbfeg
efbcga,agcbfea
efbcgd,dgcbfed
efbdac,cadbfec
efbdag,gadbfeg
efbdca,acdbfea
efbdcg,gcdbfeg
efbdga,agdbfea
efbdgc,cgdbfec
efbgac,cagbfec
efbgad,dagbfed
efbgca,acgbfea
efbgcd,dcgbfed
efbgda,adgbfea
efbgdc,cdgbfec
efcabd,dbacfed
efcabg,gbacfeg
efcadb,bdacfeb
efcadg,gdacfeg
efcagb,bgacfeb
efcagd,dgacfed
efcbad,dabcfed
efcbag,gabcfeg
efcbda,adbcfea
efcbdg,gdbcfeg
efcbga,agbcfea
efcbgd,dgbcfed
efcdab,badcfeb
efcdag,gadcfeg
efcdba,abdcfea
efcdbg,gbdcfeg
efcdga,agdcfea
efcdgb,bgdcfeb
efcgab,bagcfeb
efcgad,dagcfed
efcgba,abgcfea
efcgbd,dbgcfed
efcgda,adgcfea
efcgdb,bdgcfeb
efdabc,cbadfec
efdabg,gbadfeg
efdacb,bcadfeb
efdacg,gcadfeg
efdagb,bgadfeb
efdagc,cgadfec
efdbac,cabdfec
efdbag,gabdfeg
efdbca,acbdfea
efdbcg,gcbdfeg
efdbga,agbdfea
efdbgc,cgbdfec
efdcab,bacdfeb
efdcag,gacdfeg
efdcba,abcdfea
efdcbg,gbcdfeg
efdcga,agcdfea
efdcgb,bgcdfeb
efdgab,bagdfeb
efdgac,cagdfec
efdgba,abgdfea
efdgbc,cbgdfec
efdgca,acgdfea
efdgcb,bcgdfeb
efgabc,cbagfec
efgabd,dbagfed
efgacb,bcagfeb
efgacd,dcagfed
efgadb,bdagfeb
efgadc,cdagfec
efgbac,cabgfec
efgbad,dabgfed
efgbca,acbgfea
efgbcd,dcbgfed
efgbda,adbgfea
efgbdc,cdbgfec
efgcab,bacgfeb
efgcad,dacgfed
efgcba,abcgfea
efgcbd,dbcgfed
efgcda,adcgfea
efgcdb,bdcgfeb
efgdab,badgfeb
efgdac,cadgfec
efgdba,abdgfea
efgdbc,cbdgfec
efgdca,acdgfea
efgdcb,bcdgfeb
egabcd,dcbaged
egabcf,fcbagef
egabdc,cdbagec
egabdf,fdbagef
egabfc,cfbagec
egabfd,dfbaged
egacbd,dbcaged
egacbf,fbcagef
egacdb,bdcageb
egacdf,fdcagef
egacfb,bfcageb
egacfd,dfcaged
egadbc,cbdagec
egadbf,fbdagef
egadcb,bcdageb
egadcf,fcdagef
egadfb,bfdageb
egadfc,cfdagec
egafbc,cbfagec
egafbd,dbfaged
egafcb,bcfageb
egafcd,dcfaged
egafdb,bdfageb
egafdc,cdfagec
egbacd,dcabged
egbacf,fcabgef
egbadc,cdabgec
egbadf,fdabgef
egbafc,cfabgec
egbafd,dfabged
egbcad,dacbged
egbcaf,facbgef
egbcda,adcbgea
egbcdf,fdcbgef
egbcfa,afcbgea
egbcfd,dfcbged
egbdac,cadbgec
egbdaf,fadbgef
egbdca,acdbgea
egbdcf,fcdbgef
egbdfa,afdbgea
egbdfc,cfdbgec
egbfac,cafbgec
egbfad,dafbged
egbfca,acfbgea
egbfcd,dcfbged
egbfda,adfbgea
egbfdc,cdfbgec
egcabd,dbacged
egcabf,fbacgef
egcadb,bdacgeb
egcadf,fdacgef
egcafb,bfacgeb
egcafd,dfacged
egcbad,dabcged
egcbaf,fabcgef
egcbda,adbcgea
egcbdf,fdbcgef
egcbfa,afbcgea
egcbfd,dfbcged
egcdab,badcgeb
egcdaf,fadcgef
egcdba,abdcgea
egcdbf,fbdcgef
egcdfa,afdcgea
egcdfb,bfdcgeb
egcfab,bafcgeb
egcfad,dafcged
egcfba,abfcgea
egcfbd,dbfcged
egcfda,adfcgea
egcfdb,bdfcgeb
egdabc,cbadgec
egdabf,fbadgef
egdacb,bcadgeb
egdacf,fcadgef
egdafb,bfadgeb
egdafc,cfadgec
egdbac,cabdgec
egdbaf,fabdgef
egdbca,acbdgea
egdbcf,fcbdgef
egdbfa,afbdgea
egdbfc,cfbdgec
egdcab,bacdgeb
egdcaf,facdgef
egdcba,abcdgea
egdcbf,fbcdgef
egdcfa,afcdgea
egdcfb,bfcdgeb
egdfab,bafdgeb
egdfac,cafdgec
egdfba,abfdgea
egdfbc,cbfdgec
egdfca,acfdgea
egdfcb,bcfdgeb
egfabc,cbafgec
egfabd,dbafged
egfacb,bcafgeb
egfacd,dcafged
egfadb,bdafgeb
egfadc,cdafgec
egfbac,cabfgec
egfbad,dabfged
egfbca,acbfgea
egfbcd,dcbfged
egfbda,adbfgea
egfbdc,cdbfgec
egfcab,bacfgeb
egfcad,dacfged
egfcba,abcfgea
egfcbd,dbcfged
egfcda,adcfgea
egfcdb,bdcfgeb
egfdab,badfgeb
egfdac,cadfgec
egfdba,abdfgea
egfdbc,cbdfgec
egfdca,acdfgea
egfdcb,bcdfgeb
fabcde,edcbafe
fabcdg,gdcbafg
fabced,decbafd
fabceg,gecbafg
fabcgd,dgcbafd
fabcge,egcbafe
fabdce,ecdbafe
fabdcg,gcdbafg
fabdec,cedbafc
fabdeg,gedbafg
fabdgc,cgdbafc
fabdge,egdbafe
fabecd,dcebafd
fabecg,gcebafg
fabedc,cdebafc
fabedg,gdebafg
fabegc,cgebafc
fabegd,dgebafd
fabgcd,dcgbafd
fabgce,ecgbafe
fabgdc,cdgbafc
fabgde,edgbafe
fabgec,cegbafc
fabged,degbafd
facbde,edbcafe
facbdg,gdbcafg
facbed,debcafd
facbeg,gebcafg
facbgd,dgbcafd
facbge,egbcafe
facdbe,ebdcafe
facdbg,gbdcafg
facdeb,bedcafb
facdeg,gedcafg
facdgb,bgdcafb
facdge,egdcafe
facebd,dbecafd
facebg,gbecafg
facedb,bdecafb
facedg,gdecafg
facegb,bgecafb
facegd,dgecafd
facgbd,dbgcafd
facgbe,ebgcafe
facgdb,bdgcafb
facgde,edgcafe
facgeb,begcafb
facged,degcafd
fadbce,ecbdafe
fadbcg,gcbdafg
fadbec,cebdafc
fadbeg,gebdafg
fadbgc,cgbdafc
fadbge,egbdafe
fadcbe,ebcdafe
fadcbg,gbcdafg
fadceb,becdafb
fadceg,gecdafg
fadcgb,bgcdafb
fadcge,egcdafe
fadebc,cbedafc
fadebg,gbedafg
fadecb,bcedafb
fadecg,gcedafg
fadegb,bgedafb
fadegc,cgedafc
fadgbc,cbgdafc
fadgbe,ebgdafe
fadgcb,bcgdafb
fadgce,ecgdafe
fadgeb,begdafb
fadgec,cegdafc
faebcd,dcbeafd
faebcg,gcbeafg
faebdc,cdbeafc
faebdg,gdbeafg
faebgc,cgbeafc
faebgd,dgbeafd
faecbd,dbceafd
faecbg,gbceafg
faecdb,bdceafb
faecdg,gdceafg
faecgb,bgceafb
faecgd,dgceafd
faedbc,cbdeafc
faedbg,gbdeafg
faedcb,bcdeafb
faedcg,gcdeafg
faedgb,bgdeafb
faedgc,cgdeafc
faegbc,cbgeafc
faegbd,dbgeafd
faegcb,bcgeafb
faegcd,dcgeafd
faegdb,bdgeafb
faegdc,cdgeafc
fagbcd,dcbgafd
fagbce,ecbgafe
fagbdc,cdbgafc
fagbde,edbgafe
fagbec,cebgafc
fagbed,debgafd
fagcbd,dbcgafd
fagcbe,ebcgafe
fagcdb,bdcgafb
fagcde,edcgafe
fagceb,becgafb
fagced,decgafd
fagdbc,cbdgafc
fagdbe,ebdgafe
fagdcb,bcdgafb
fagdce,ecdgafe
fagdeb,bedgafb
fagdec,cedgafc
fagebc,cbegafc
fagebd,dbegafd
fagecb,bcegafb
fagecd,dcegafd
fagedb,bdegafb
fagedc,cdegafc
fbacde,edcabfe
fbacdg,gdcabfg
fbaced,decabfd
fbaceg,gecabfg
fbacgd,dgcabfd
fbacge,egcabfe
fbadce,ecdabfe
fbadcg,gcdabfg
fbadec,cedabfc
fbadeg,gedabfg
fbadgc,cgdabfc
fbadge,egdabfe
fbaecd,dceabfd
fbaecg,gceabfg
fbaedc,cdeabfc
fbaedg,gdeabfg
fbaegc,cgeabfc
fbaegd,dgeabfd
fbagcd,dcgabfd
fbagce,ecgabfe
fbagdc,cdgabfc
fbagde,edgabfe
fbagec,cegabfc
fbaged,degabfd
fbcade,edacbfe
fbcadg,gdacbfg
fbcaed,deacbfd
fbcaeg,geacbfg
fbcagd,dgacbfd
fbcage,egacbfe
fbcdae,eadcbfe
fbcdag,gadcbfg
fbcdea,aedcbfa
fbcdeg,gedcbfg
fbcdga,agdcbfa
fbcdge,egdcbfe
fbcead,daecbfd
fbceag,gaecbfg
fbceda,adecbfa
fbcedg,gdecbfg
fbcega,agecbfa
fbcegd,dgecbfd
fbcgad,dagcbfd
fbcgae,eagcbfe
fbcgda,adgcbfa
fbcgde,edgcbfe
fbcgea,aegcbfa
fbcged,degcbfd
fbdace,ecadbfe
fbdacg,gcadbfg
fbdaec,ceadbfc
fbdaeg,geadbfg
fbdagc,cgadbfc
fbdage,egadbfe
fbdcae,eacdbfe
fbdcag,gacdbfg
fbdcea,aecdbfa
fbdceg,gecdbfg
fbdcga,agcdbfa
fbdcge,egcdbfe
fbdeac,caedbfc
fbdeag,gaedbfg
fbdeca,acedbfa
fbdecg,gcedbfg
fbdega,agedbfa
fbdegc,cgedbfc
fbdgac,cagdbfc
fbdgae,eagdbfe
fbdgca,acgdbfa
fbdgce,ecgdbfe
fbdgea,aegdbfa
fbdgec,cegdbfc
fbeacd,dcaebfd
fbeacg,gcaebfg
fbeadc,cdaebfc
fbeadg,gdaebfg
fbeagc,cgaebfc
fbeagd,dgaebfd
fbecad,dacebfd
fbecag,gacebfg
fbecda,adcebfa
fbecdg,gdcebfg
fbecga,agcebfa
fbecgd,dgcebfd
fbedac,cadebfc
fbedag,gadebfg
fbedca,acdebfa
fbedcg,gcdebfg
fbedga,agdebfa
fbedgc,cgdebfc
fbegac,cagebfc
fbegad,dagebfd
fbegca,acgebfa
fbegcd,dcgebfd
fbegda,adgebfa
fbegdc,cdgebfc
fbgacd,dcagbfd
fbgace,ecagbfe
fbgadc,cdagbfc
fbgade,edagbfe
fbgaec,ceagbfc
fbgaed,deagbfd
fbgcad,dacgbfd
fbgcae,eacgbfe
fbgcda,adcgbfa
fbgcde,edcgbfe
fbgcea,aecgbfa
fbgced,decgbfd
fbgdac,cadgbfc
fbgdae,eadgbfe
fbgdca,acdgbfa
fbgdce,ecdgbfe
fbgdea,aedgbfa
fbgdec,cedgbfc
fbgeac,caegbfc
fbgead,daegbfd
fbgeca,acegbfa
fbgecd,dcegbfd
fbgeda,adegbfa
fbgedc,cdegbfc
fcabde,edbacfe
fcabdg,gdbacfg
fcabed,debacfd
fcabeg,gebacfg
fcabgd,dgbacfd
fcabge,egbacfe
fcadbe,ebdacfe
fcadbg,gbdacfg
fcadeb,bedacfb
fcadeg,gedacfg
fcadgb,bgdacfb
fcadge,egdacfe
fcaebd,dbeacfd
fcaebg,gbeacfg
fcaedb,bdeacfb
fcaedg,gdeacfg
fcaegb,bgeacfb
fcaegd,dgeacfd
fcagbd,dbgacfd
fcagbe,ebgacfe
fcagdb,bdgacfb
fcagde,edgacfe
fcageb,begacfb
fcaged,degacfd
fcbade,edabcfe
fcbadg,gdabcfg
fcbaed,deabcfd
fcbaeg,geabcfg
fcbagd,dgabcfd
fcbage,egabcfe
fcbdae,eadbcfe
fcbdag,gadbcfg
fcbdea,aedbcfa
fcbdeg,gedbcfg
fcbdga,agdbcfa
fcbdge,egdbcfe
fcbead,daebcfd
fcbeag,gaebcfg
fcbeda,adebcfa
fcbedg,gdebcfg
fcbega,agebcfa
fcbegd,dgebcfd
fcbgad,dagbcfd
fcbgae,eagbcfe
fcbgda,adgbcfa
fcbgde,edgbcfe
fcbgea,aegbcfa
fcbged,degbcfd
fcdabe,ebadcfe
fcdabg,gbadcfg
fcdaeb,beadcfb
fcdaeg,geadcfg
fcdagb,bgadcfb
fcdage,egadcfe
fcdbae,eabdcfe
fcdbag,gabdcfg
fcdbea,aebdcfa
fcdbeg,gebdcfg
fcdbga,agbdcfa
fcdbge,egbdcfe
fcdeab,baedcfb
fcdeag,gaedcfg
fcdeba,abedcfa
fcdebg,gbedcfg
fcdega,agedcfa
fcdegb,bgedcfb
fcdgab,bagdcfb
fcdgae,eagdcfe
fcdgba,abgdcfa
fcdgbe,ebgdcfe
fcdgea,aegdcfa
fcdgeb,begdcfb
fceabd,dbaecfd
fceabg,gbaecfg
fceadb,bdaecfb
fceadg,gdaecfg
fceagb,bgaecfb
fceagd,dgaecfd
fcebad,dabecfd
fcebag,gabecfg
fcebda,adbecfa
fcebdg,gdbecfg
fcebga,agbecfa
fcebgd,dgbecfd
fcedab,badecfb
fcedag,gadecfg
fcedba,abdecfa
fcedbg,gbdecfg
fcedga,agdecfa
fcedgb,bgdecfb
fcegab,bagecfb
fcegad,dagecfd
fcegba,abgecfa
fcegbd,dbgecfd
fcegda,adgecfa
fcegdb,bdgecfb
fcgabd,dbagcfd
fcgabe,ebagcfe
fcgadb,bdagcfb
fcgade,edagcfe
fcgaeb,beagcfb
fcgaed,deagcfd
fcgbad,dabgcfd
fcgbae,eabgcfe
fcgbda,adbgcfa
fcgbde,edbgcfe
fcgbea,aebgcfa
fcgbed,debgcfd
fcgdab,badgcfb
fcgdae,eadgcfe
fcgdba,abdgcfa
fcgdbe,ebdgcfe
fcgdea,aedgcfa
fcgdeb,bedgcfb
fcgeab,baegcfb
fcgead,daegcfd
fcgeba,abegcfa
fcgebd,dbegcfd
fcgeda,adegcfa
fcgedb,bdegcfb
fdabce,ecbadfe
fdabcg,gcbadfg
fdabec,cebadfc
fdabeg,gebadfg
fdabgc,cgbadfc
fdabge,egbadfe
fdacbe,ebcadfe
fdacbg,gbcadfg
fdaceb,becadfb
fdaceg,gecadfg
fdacgb,bgcadfb
fdacge,egcadfe
fdaebc,cbeadfc
fdaebg,gbeadfg
fdaecb,bceadfb
fdaecg,gceadfg
fdaegb,bgeadfb
fdaegc,cgeadfc
fdagbc,cbgadfc
fdagbe,ebgadfe
fdagcb,bcgadfb
fdagce,ecgadfe
fdageb,begadfb
fdagec,cegadfc
fdbace,ecabdfe
fdbacg,gcabdfg
fdbaec,ceabdfc
fdbaeg,geabdfg
fdbagc,cgabdfc
fdbage,egabdfe
fdbcae,eacbdfe
fdbcag,gacbdfg
fdbcea,aecbdfa
fdbceg,gecbdfg
fdbcga,agcbdfa
fdbcge,egcbdfe
fdbeac,caebdfc
fdbeag,gaebdfg
fdbeca,acebdfa
fdbecg,gcebdfg
fdbega,agebdfa
fdbegc,cgebdfc
fdbgac,cagbdfc
fdbgae,eagbdfe
fdbgca,acgbdfa
fdbgce,ecgbdfe
fdbgea,aegbdfa
fdbgec,cegbdfc
fdcabe,ebacdfe
fdcabg,gbacdfg
fdcaeb,beacdfb
fdcaeg,geacdfg
fdcagb,bgacdfb
fdcage,egacdfe
fdcbae,eabcdfe
fdcbag,gabcdfg
fdcbea,aebcdfa
fdcbeg,gebcdfg
fdcbga,agbcdfa
fdcbge,egbcdfe
fdceab,baecdfb
fdceag,gaecdfg
fdceba,abecdfa
fdcebg,gbecdfg
fdcega,agecdfa
fdcegb,bgecdfb
fdcgab,bagcdfb
fdcgae,eagcdfe
fdcgba,abgcdfa
fdcgbe,ebgcdfe
fdcgea,aegcdfa
fdcgeb,begcdfb
fdeabc,cbaedfc
fdeabg,gbaedfg
fdeacb,bcaedfb
fdeacg,gcaedfg
fdeagb,bgaedfb
fdeagc,cgaedfc
fdebac,cabedfc
fdebag,gabedfg
fdebca,acbedfa
fdebcg,gcbedfg
fdebga,agbedfa
fdebgc,cgbedfc
fdecab,bacedfb
fdecag,gacedfg
fdecba,abcedfa
fdecbg,gbcedfg
fdecga,agcedfa
fdecgb,bgcedfb
fdegab,bagedfb
fdegac,cagedfc
fdegba,abgedfa
fdegbc,cbgedfc
fdegca,acgedfa
fdegcb,bcgedfb
fdgabc,cbagdfc
fdgabe,ebagdfe
fdgacb,bcagdfb
fdgace,ecagdfe
fdgaeb,beagdfb
fdgaec,ceagdfc
fdgbac,cabgdfc
fdgbae,eabgdfe
fdgbca,acbgdfa
fdgbce,ecbgdfe
fdgbea,aebgdfa
fdgbec,cebgdfc
fdgcab,bacgdfb
fdgcae,eacgdfe
fdgcba,abcgdfa
fdgcbe,ebcgdfe
fdgcea,aecgdfa
fdgceb,becgdfb
fdgeab,baegdfb
fdgeac,caegdfc
fdgeba,abegdfa
fdgebc,cbegdfc
fdgeca,acegdfa
fdgecb,bcegdfb
feabcd,dcbaefd
feabcg,gcbaefg
feabdc,cdbaefc
feabdg,gdbaefg
feabgc,cgbaefc
feabgd,dgbaefd
feacbd,dbcaefd
feacbg,gbcaefg
feacdb,bdcaefb
feacdg,gdcaefg
feacgb,bgcaefb
feacgd,dgcaefd
feadbc,cbdaefc
feadbg,gbdaefg
feadcb,bcdaefb
feadcg,gcdaefg
feadgb,bgdaefb
feadgc,cgdaefc
feagbc,cbgaefc
feagbd,dbgaefd
feagcb,bcgaefb
feagcd,dcgaefd
feagdb,bdgaefb
feagdc,cdgaefc
febacd,dcabefd
febacg,gcabefg
febadc,cdabefc
febadg,gdabefg
febagc,cgabefc
febagd,dgabefd
febcad,dacbefd
febcag,gacbefg
febcda,adcbefa
febcdg,gdcbefg
febcga,agcbefa
febcgd,dgcbefd
febdac,cadbefc
febdag,gadbefg
febdca,acdbefa
febdcg,gcdbefg
febdga,agdbefa
febdgc,cgdbefc
febgac,cagbefc
febgad,dagbefd
febgca,acgbefa
febgcd,dcgbefd
febgda,adgbefa
febgdc,cdgbefc
fecabd,dbacefd
fecabg,gbacefg
fecadb,bdacefb
fecadg,gdacefg
fecagb,bgacefb
fecagd,dgacefd
fecbad,dabcefd
fecbag,gabcefg
fecbda,adbcefa
fecbdg,gdbcefg
fecbga,agbcefa
fecbgd,dgbcefd
fecdab,badcefb
fecdag,gadcefg
fecdba,abdcefa
fecdbg,gbdcefg
fecdga,agdcefa
fecdgb,bgdcefb
fecgab,bagcefb
fecgad,dagcefd
fecgba,abgcefa
fecgbd,dbgcefd
fecgda,adgcefa
fecgdb,bdgcefb
fedabc,cbadefc
fedabg,gbadefg
fedacb,bcadefb
fedacg,gcadefg
fedagb,bgadefb
fedagc,cgadefc
fedbac,cabdefc
fedbag,gabdefg
fedbca,acbdefa
fedbcg,gcbdefg
fedbga,agbdefa
fedbgc,cgbdefc
fedcab,bacdefb
fedcag,gacdefg
fedcba,abcdefa
fedcbg,gbcdefg
fedcga,agcdefa
fedcgb,bgcdefb
fedgab,bagdefb
fedgac,cagdefc
fedgba,abgdefa
fedgbc,cbgdefc
fedgca,acgdefa
fedgcb,bcgdefb
fegabc,cbagefc
fegabd,dbagefd
fegacb,bcagefb
fegacd,dcagefd
fegadb,bdagefb
fegadc,cdagefc
fegbac,cabgefc
fegbad,dabgefd
fegbca,acbgefa
fegbcd,dcbgefd
fegbda,adbgefa
fegbdc,cdbgefc
fegcab,bacgefb
fegcad,dacgefd
fegcba,abcgefa
fegcbd,dbcgefd
fegcda,adcgefa
fegcdb,bdcgefb
fegdab,badgefb
fegdac,cadgefc
fegdba,abdgefa
fegdbc,cbdgefc
fegdca,acdgefa
fegdcb,bcdgefb
fgabcd,dcbagfd
fgabce,ecbagfe
fgabdc,cdbagfc
fgabde,edbagfe
fgabec,cebagfc
fgabed,debagfd
fgacbd,dbcagfd
fgacbe,ebcagfe
fgacdb,bdcagfb
fgacde,edcagfe
fgaceb,becagfb
fgaced,decagfd
fgadbc,cbdagfc
fgadbe,ebdagfe
fgadcb,bcdagfb
fgadce,ecdagfe
fgadeb,bedagfb
fgadec,cedagfc
fgaebc,cbeagfc
fgaebd,dbeagfd
fgaecb,bceagfb
fgaecd,dceagfd
fgaedb,bdeagfb
fgaedc,cdeagfc
fgbacd,dcabgfd
fgbace,ecabgfe
fgbadc,cdabgfc
fgbade,edabgfe
fgbaec,ceabgfc
fgbaed,deabgfd
fgbcad,dacbgfd
fgbcae,eacbgfe
fgbcda,adcbgfa
fgbcde,edcbgfe
fgbcea,aecbgfa
fgbced,decbgfd
fgbdac,cadbgfc
fgbdae,eadbgfe
fgbdca,acdbgfa
fgbdce,ecdbgfe
fgbdea,aedbgfa
fgbdec,cedbgfc
fgbeac,caebgfc
fgbead,daebgfd
fgbeca,acebgfa
fgbecd,dcebgfd
fgbeda,adebgfa
fgbedc,cdebgfc
fgcabd,dbacgfd
fgcabe,ebacgfe
fgcadb,bdacgfb
fgcade,edacgfe
fgcaeb,beacgfb
fgcaed,deacgfd
fgcbad,dabcgfd
fgcbae,eabcgfe
fgcbda,adbcgfa
fgcbde,edbcgfe
fgcbea,aebcgfa
fgcbed,debcgfd
fgcdab,badcgfb
fgcdae,eadcgfe
fgcdba,abdcgfa
fgcdbe,ebdcgfe
fgcdea,aedcgfa
fgcdeb,bedcgfb
fgceab,baecgfb
fgcead,daecgfd
fgceba,abecgfa
fgcebd,dbecgfd
fgceda,adecgfa
fgcedb,bdecgfb
fgdabc,cbadgfc
fgdabe,ebadgfe
fgdacb,bcadgfb
fgdace,ecadgfe
fgdaeb,beadgfb
fgdaec,ceadgfc
fgdbac,cabdgfc
fgdbae,eabdgfe
fgdbca,acbdgfa
fgdbce,ecbdgfe
fgdbea,aebdgfa
fgdbec,cebdgfc
fgdcab,bacdgfb
fgdcae,eacdgfe
fgdcba,abcdgfa
fgdcbe,ebcdgfe
fgdcea,aecdgfa
fgdceb,becdgfb
fgdeab,baedgfb
fgdeac,caedgfc
fgdeba,abedgfa
fgdebc,cbedgfc
fgdeca,acedgfa
fgdecb,bcedgfb
fgeabc,cbaegfc
fgeabd,dbaegfd
fgeacb,bcaegfb
fgeacd,dcaegfd
fgeadb,bdaegfb
fgeadc,cdaegfc
fgebac,cabegfc
fgebad,dabegfd
fgebca,acbegfa
fgebcd,dcbegfd
fgebda,adbegfa
fgebdc,cdbegfc
fgecab,bacegfb
fgecad,dacegfd
fgecba,abcegfa
fgecbd,dbcegfd
fgecda,adcegfa
fgecdb,bdcegfb
fgedab,badegfb
fgedac,cadegfc
fgedba,abdegfa
fgedbc,cbdegfc
fgedca,acdegfa
fgedcb,bcdegfb
gabcde,edcbage
gabcdf,fdcbagf
gabced,decbagd
gabcef,fecbagf
gabcfd,dfcbagd
gabcfe,efcbage
gabdce,ecdbage
gabdcf,fcdbagf
gabdec,cedbagc
gabdef,fedbagf
gabdfc,cfdbagc
gabdfe,efdbage
gabecd,dcebagd
gabecf,fcebagf
gabedc,cdebagc
gabedf,fdebagf
gabefc,cfebagc
gabefd,dfebagd
gabfcd,dcfbagd
gabfce,ecfbage
gabfdc,cdfbagc
gabfde,edfbage
gabfec,cefbagc
gabfed,defbagd
gacbde,edbcage
gacbdf,fdbcagf
gacbed,debcagd
gacbef,febcagf
gacbfd,dfbcagd
gacbfe,efbcage
gacdbe,ebdcage
gacdbf,fbdcagf
gacdeb,bedcagb
gacdef,fedcagf
gacdfb,bfdcagb
gacdfe,efdcage
gacebd,dbecagd
gacebf,fbecagf
gacedb,bdecagb
gacedf,fdecagf
gacefb,bfecagb
gacefd,dfecagd
gacfbd,dbfcagd
gacfbe,ebfcage
gacfdb,bdfcagb
gacfde,edfcage
gacfeb,befcagb
gacfed,defcagd
gadbce,ecbdage
gadbcf,fcbdagf
gadbec,cebdagc
gadbef,febdagf
gadbfc,cfbdagc
gadbfe,efbdage
gadcbe,ebcdage
gadcbf,fbcdagf
gadceb,becdagb
gadcef,fecdagf
gadcfb,bfcdagb
gadcfe,efcdage
gadebc,cbedagc
gadebf,fbedagf
gadecb,bcedagb
gadecf,fcedagf
gadefb,bfedagb
gadefc,cfedagc
gadfbc,cbfdagc
gadfbe,ebfdage
gadfcb,bcfdagb
gadfce,ecfdage
gadfeb,befdagb
gadfec,cefdagc
gaebcd,dcbeagd
gaebcf,fcbeagf
gaebdc,cdbeagc
gaebdf,fdbeagf
gaebfc,cfbeagc
gaebfd,dfbeagd
gaecbd,dbceagd
gaecbf,fbceagf
gaecdb,bdceagb
gaecdf,fdceagf
gaecfb,bfceagb
gaecfd,dfceagd
gaedbc,cbdeagc
gaedbf,fbdeagf
gaedcb,bcdeagb
gaedcf,fcdeagf
gaedfb,bfdeagb
gaedfc,cfdeagc
gaefbc,cbfeagc
gaefbd,dbfeagd
gaefcb,bcfeagb
gaefcd,dcfeagd
gaefdb,bdfeagb
gaefdc,cdfeagc
gafbcd,dcbfagd
gafbce,ecbfage
gafbdc,cdbfagc
gafbde,edbfage
gafbec,cebfagc
gafbed,debfagd
gafcbd,dbcfagd
gafcbe,ebcfage
gafcdb,bdcfagb
gafcde,edcfage
gafceb,becfagb
gafced,decfagd
gafdbc,cbdfagc
gafdbe,ebdfage
gafdcb,bcdfagb
gafdce,ecdfage
gafdeb,bedfagb
gafdec,cedfagc
gafebc,cbefagc
gafebd,dbefagd
gafecb,bcefagb
gafecd,dcefagd
gafedb,bdefagb
gafedc,cdefagc
gbacde,edcabge
gbacdf,fdcabgf
gbaced,decabgd
gbacef,fecabgf
gbacfd,dfcabgd
gbacfe,efcabge
gbadce,ecdabge
gbadcf,fcdabgf
gbadec,cedabgc
gbadef,fedabgf
gbadfc,cfdabgc
gbadfe,efdabge
gbaecd,dceabgd
gbaecf,fceabgf
gbaedc,cdeabgc
gbaedf,fdeabgf
gbaefc,cfeabgc
gbaefd,dfeabgd
gbafcd,dcfabgd
gbafce,ecfabge
gbafdc,cdfabgc
gbafde,edfabge
gbafec,cefabgc
gbafed,defabgd
gbcade,edacbge
gbcadf,fdacbgf
gbcaed,deacbgd
gbcaef,feacbgf
gbcafd,dfacbgd
gbcafe,efacbge
gbcdae,eadcbge
gbcdaf,fadcbgf
gbcdea,aedcbga
gbcdef,fedcbgf
gbcdfa,afdcbga
gbcdfe,efdcbge
gbcead,daecbgd
gbceaf,faecbgf
gbceda,adecbga
gbcedf,fdecbgf
gbcefa,afecbga
gbcefd,dfecbgd
gbcfad,dafcbgd
gbcfae,eafcbge
gbcfda,adfcbga
gbcfde,edfcbge
gbcfea,aefcbga
gbcfed,defcbgd
gbdace,ecadbge
gbdacf,fcadbgf
gbdaec,ceadbgc
gbdaef,feadbgf
gbdafc,cfadbgc
gbdafe,efadbge
gbdcae,eacdbge
gbdcaf,facdbgf
gbdcea,aecdbga
gbdcef,fecdbgf
gbdcfa,afcdbga
gbdcfe,efcdbge
gbdeac,caedbgc
gbdeaf,faedbgf
gbdeca,acedbga
gbdecf,fcedbgf
gbdefa,afedbga
gbdefc,cfedbgc
gbdfac,cafdbgc
gbdfae,eafdbge
gbdfca,acfdbga
gbdfce,ecfdbge
gbdfea,aefdbga
gbdfec,cefdbgc
gbeacd,dcaebgd
gbeacf,fcaebgf
gbeadc,cdaebgc
gbeadf,fdaebgf
gbeafc,cfaebgc
gbeafd,dfaebgd
gbecad,dacebgd
gbecaf,facebgf
gbecda,adcebga
gbecdf,fdcebgf
gbecfa,afcebga
gbecfd,dfcebgd
gbedac,cadebgc
gbedaf,fadebgf
gbedca,acdebga
gbedcf,fcdebgf
gbedfa,afdebga
gbedfc,cfdebgc
gbefac,cafebgc
gbefad,dafebgd
gbefca,acfebga
gbefcd,dcfebgd
gbefda,adfebga
gbefdc,cdfebgc
gbfacd,dcafbgd
gbface,ecafbge
gbfadc,cdafbgc
gbfade,edafbge
gbfaec,ceafbgc
gbfaed,deafbgd
